Summary Results for the application for the date01-10-2022/

Total Profit: 1.652730209E7,Max Profit Store: store5,Min Profit Store:  

Product,Total Quantity,Total Profit,Total Sold
p10,2740,218104.00,623686.75
p12,2638,117549.28,292217.07
p11,3000,337890.00,984393.99
p14,2829,324542.88,678978.78
p13,2749,183880.61,323841.93
p16,2784,390650.88,953492.16
p15,2956,551027.96,1204150.87
p18,2749,582348.16,1310560.12
p17,3006,432623.52,568392.46
p19,2692,272188.12,590986.09
p21,3048,563880.00,1395265.37
p20,2761,279440.81,634196.91
p23,2647,272985.11,717963.38
p22,2543,417230.01,836280.86
p25,2606,271310.66,437968.89
p24,2681,499282.63,887453.91
p27,2844,179627.04,533802.90
p26,2741,70964.49,203303.74
p29,2726,298469.74,649253.86
p28,2820,219678.00,430103.18
p0,2668,536801.60,872472.87
p1,2746,278005.04,479878.82
p2,2945,623898.25,1220221.45
p3,2749,289194.80,740376.15
p4,2814,26001.36,68119.39
p5,2985,121340.25,342813.97
p6,2806,191902.34,514174.58
p7,2753,377161.00,741150.38
p8,2830,906958.40,1355120.97
p9,3047,128827.16,271331.40
p30,2692,219721.04,537511.64
p32,2973,45219.33,113915.55
p31,2845,391898.75,634283.12
p34,2787,819182.91,1239804.34
p33,2693,71930.03,110109.10
p36,2940,409630.20,729646.50
p35,2896,1002479.36,1362696.71
p38,2865,445679.40,859387.40
p37,2897,338949.00,525615.55
p39,2844,301776.84,465998.85
p41,2744,56224.56,77392.39
p40,2786,23764.58,32190.59
p43,2906,354328.58,586986.84
p42,2920,402872.40,663462.93
p45,2711,192887.65,554507.94
p44,2710,196204.00,429372.40
p47,2944,691928.32,913035.89
p46,2743,141319.36,320386.06
p49,2880,129081.60,376223.94
p48,2756,328460.08,954810.06
