Summary Results for the application for the date01-10-2022/

Total Profit: 1.9123226910999998E8,Max Profit Store: store2,Min Profit Store:  store5

Product,Total Quantity,Total Profit,Total Sold
p10,33035,2629586.00,7519522.19
p12,32144,1432336.64,3560662.59
p11,33118,3730080.34,10867053.58
p14,31981,3668860.32,7675653.13
p13,33282,2226232.98,3920738.36
p16,32435,4551279.20,11108663.15
p15,31496,5871169.36,12830154.74
p18,32407,6865098.88,15449734.86
p17,33343,4798724.56,6304694.22
p19,32627,3298915.97,7162743.02
p21,33200,6142000.00,15197772.35
p20,32165,3255419.65,7388243.47
p23,32728,3375238.64,8877033.80
p22,32180,5279772.60,10582586.21
p25,32419,3375142.09,5448394.53
p24,32423,6038135.29,10732531.70
p27,32914,2078848.24,6177774.98
p26,32981,853878.09,2446245.17
p29,32384,3545724.16,7712926.22
p28,32788,2554185.20,5000789.27
p0,32404,6519684.80,10596554.23
p1,32388,3278961.12,5659983.02
p2,32538,6893175.30,13481686.30
p3,32809,3451506.80,8836302.92
p4,33616,310611.84,813753.98
p5,31696,1288442.40,3640145.17
p6,32618,2230745.02,5976958.74
p7,32126,4401262.00,8648818.76
p8,32768,10501488.64,15690672.93
p9,33682,1424074.96,2999337.50
p30,32569,2658281.78,6503052.23
p32,33505,509611.05,1283799.72
p31,32641,4496297.75,7277202.15
p34,32117,9440149.81,14287332.93
p33,32146,858619.66,1314356.86
p36,33199,4625616.67,8239298.25
p35,33948,11751439.68,15974042.88
p38,33319,5183103.64,9994389.27
p37,32918,3851406.00,5972459.35
p39,32385,3436372.35,5306389.99
p41,32702,670063.98,922334.51
p40,32594,278026.82,376605.82
p43,32358,3945410.94,6536035.83
p42,32193,4441668.21,7314678.84
p45,32143,2286974.45,6574529.22
p44,32310,2339244.00,5119196.40
p47,32513,7641530.39,10083401.50
p46,32176,1657707.52,3758199.80
p49,32494,1456381.08,4244799.36
p48,32168,3833782.24,11144532.26
